smiles,label
CC(C)(C)NC(=O)C1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,1
CC1(C(=O)O)CCC2(C)CCC3(C)C(=C2C1)CC(=O)C1C2(C)CCC(OC(=O)CCC(=O)O)C(C)(C)C2CCC13C,0
CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1,0
CCC1=NC(=O)C2CSSCC/C=C/[C@H](CC(=O)NC(C(C)C)C(=O)N2)OC(=O)C(C(C)C)NC1=O,1
Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,1
CC(C)(CO)C(O)C(=O)NCCCO,0
CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,0
COc1ccc(-c2cc(=O)c3c(O)c(O)c(OC)cc3o2)cc1,0
CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,0
C=CCN1CCCC1CNC(=O)c1cc2[nH]nnc2cc1OC,0
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1
COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,1
CC1CCC2(OC1)OC1CC3C4CCC5CC(O)CC(O)C5(C)C4CCC3(C)C1C2C,0
N#CC=C1C=CC(O)CC1OC1OC(CO)C(O)C(O)C1O,0
CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,1
CCc1cc(C(N)=S)ccn1,1
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,1
Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)NC1C(=O)N2C(C(=O)O)C(C)(C)S[C@H]12,1
Cl/C=C\CCl,1
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,1
Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,1
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=NO)CC[C@@H]4[C@H]3CC[C@@]21CC,1
CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,0
COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,0
Nc1nc(CC(=O)Nc2ccc(CCNC[C@H](O)c3ccccc3)cc2)cs1,1
NCc1[nH]cc(CCC(=O)O)c1CC(=O)O,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,1
CC1=C(CO)C(=O)OC(C(C)C2CCC3C4CC5OC56C(O)C=CC(=O)C6(C)C4CCC23C)C1,0
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,0
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,0
NC(=O)CF,1
