smiles,label
CN(C)C1C(=O)C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,1
CC12CC3(O)OC(O1)C1(COC(=O)c4ccccc4)C3CC21OC1OC(COC(=O)c2ccccc2)C(O)C(O)C1O,0
CNC(C)(C)Cc1ccccc1,0
NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,0
CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,1
COc1cc2c(cc1OC)C1C(C)c3ccc4c(c3CN1C=C2)OCO4,0
O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,1
Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)cc1,1
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1Cc2ccccc2CC1C(=O)O,1
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,1
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,1
COC1=CC(=O)OC(/C=C/C2=CCCC=C2)C1,1
CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C,0
CCC(C)(C)C1C(=O)N2CCCC2C2(O)OC(NC(=O)C3CC4c5cccc6[nH]cc(c56)CC4N(C)C3)(C(C)C)C(=O)N12,0
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,1
Cc1ccccc1C(OCCN(C)C)c1ccccc1,0
CC(C)c1nc(CN(C)C(=O)NC(C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,1
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,1
C#CCN(C)Cc1ccccc1,0
C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1,1
CC(=O)OC1CC2C(C)(C)C(=O)C=CC2(C)C2CCC3(C)C(c4ccoc4)C(=O)C4OC43C12C,0
COC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],1
CC=C(C)C(=O)OC1c2cc(OC)c(OC)c(OC)c2-c2c(cc(O)c(OC)c2OC)CC(C)C1(C)O,0
O=C1c2ccccc2-n2c1nc1ccccc1c2=O,0
CCC1(c2ccccc2)NC(=O)N(C)C1=O,1
CC(N)Cl,0
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,0
CC(c1cc2ccccc2s1)N(O)C(N)=O,1
Clc1cccc(Cl)c1NC1=NCCN1,1
CNCCC=C1c2ccccc2CCc2ccccc21,1
C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,1
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,1
OCc1cc(O)c2c(O)c3c(O)cccc3c(C3OC(CO)C(O)C(O)C3O)c2c1,0
CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21,0
CC1CC2(C)C(CCC3C4CCC(O)C4(C)CCC32)CC1=O,0
O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,1
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,1
O=C(c1ccccc1)c1ccccc1,0
CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,0
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,1
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(C)CC3)cc2)C1=O,1
Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1,0
CC(C)OP(=O)(F)OC(C)C,0
