smiles,label
CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,1
NC(CCCC(=O)O)C(=O)O,1
C=C(CCC(C)C1CC=C2C3C(=O)CC4C(C)C(=O)CCC4(C)C3C(=O)CC21C)C(C)C(=O)OC,0
CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,0
Oc1ccc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc1,0
CC(C)C(=O)c1c(C(C)C)nn2ccccc12,0
CC1OC(OC2C(Oc3cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc4c3)OC(CO)C(O)C2O)C(O)C(O)C1O,0
CCCCCCC(O)C1C2=C(CC(C(O)C3CC=CC(=O)O3)CC3=C(C(=O)OC3=O)C1O)C(O)OC2=O,1
COC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],1
CCC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC(=O)CC)CCC12,0
CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O,0
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,1
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1
CC(=O)OC(C)(C)C1Cc2cc3ccc(=O)oc3cc2O1,0
COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2,1
COc1ccc(CC2COC(=O)C2Cc2ccc(OC3OC(CO)C(O)C(O)C3O)c(OC)c2)cc1OC,0
COc1c(O)cc2c(c1O)C1OC(CO)C(O)C(O)C1OC2=O,0
CN(C)C1C(=O)C(C(=O)NCO)C(=O)C2(O)C(=O)C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,0
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,1
C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C2C(=O)OCCC21O,0
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,1
CC(C)C(=O)Oc1ccc(CO)cc1C(CCN(C(C)C)C(C)C)c1ccccc1,0
COc1c(OC2OC(C(=O)O)C(O)C(O)C2O)cc(O)c2c(=O)cc(-c3ccccc3)oc12,0
O=C(O)c1ccc(NC(=O)C(Cc2ccc(O)cc2)NC(=O)c2ccccc2)cc1,0
COc1c(CC(C)O)c2c3c(CC(C)O)c(C(=O)O)oc4c(O)cc5c(c6c(cc(O)c(c1=O)c62)OCO5)c43,0
ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl,1
Nc1ccc(O)c(C(=O)O)c1,1
CCC1=C(C)c2cc3[nH]c(cc4[nH]c(cc5nc(cc1n2)C(C)=C5CC)c(C)c4CCC(=O)O)c(CCC(=O)O)c3C,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,1
Cc1cc(C=Cc2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1,0
COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,0
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,1
CNNCc1ccc(C(=O)NC(C)C)cc1,1
O=C(OCC(=O)C(O)C(O)C(O)C(O)CO)c1cc(O)c(O)c(O)c1,0
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0
Cl/C=C/Cl,1
S=C=S,1
Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,1
CC(CN1c2ccccc2Sc2cccnc21)N(C)C,0
CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1,0
CC12CCC(O)CC1CCC1C2CCC2(C)C(c3ccc(=O)oc3)CCC12O,0
Nc1ncnc2c1ncn2CC(O)C(O)C(=O)O,0
CC(N)C12CC3CC(CC(C3)C1)C2,0
COc1ccc2cc1Oc1ccc(cc1)CC1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)C5C2)OCO4)CCN1C,0
CC(C)C(C)C(C)C,1
CC1NC(=O)C(CC(O)(CO)CO)NC(=O)C2Cc3c([nH]c4ccccc34)SCC(NC(=O)C(C(C)O)NC1=O)C(=O)N1CC(O)CC1C(=O)NC(C)C(=O)N2,1
COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,1
OCC(O)C(O)C(O)C(O)CO,0
CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,0
COc1cc(C(=O)O)ccc1O,0
CC(CS)C(=O)N1CCCC1C(=O)O,1
COc1ccc2c(c1)OC(C)(C)C=C2,0
CCC(CC(O)C(C)C1CCC2=C3CC(=O)C4C(C)C(OC(=O)c5ccccc5)CCC4(C)C3CCC21C)C(C)C,0
ClCCCl,1
CCCCOC(=O)c1ccccc1C(=O)OCCCC,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3C(=C)C[C@@]21CC,1
C=C(C)C1OC2CCC3(C)C4(C)c5[nH]c6cc(Cl)c7c8c6c5C(OC(C)(C)C5CC(C(=C)C7)C85O)C4CCC3(O)C23OC3C1O,1
Brc1cccc(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c1Br,1
CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,1
CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)C1CCCCCC)OC(=O)C(CC(C)C)NC=O,1
CC(Cc1cc2c(cc1O)OCO2)C(C)C(=O)c1ccc2c(c1)OCO2,0
C=C(C)C(=O)OC,0
CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O,1
