smiles,label
Cc1cccc(O)c1,1
NCC1(CC(=O)O)CCCCC1,1
C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,1
CC(O)C(N)C(=O)O,0
C=CCCCCCCCCC(=O)O,0
CC1(C)CCC(=Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,1
CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,0
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)C(=O)C3C(C)[C@@H](OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C,1
O=C(O)C1/C(=C/CO)O[C@@H]2CC(=O)N12,1
Cc1cccc(C)c1,1
CCCCCCCC(=O)NC(CN1CCCC1)C(O)c1ccc2c(c1)OCCO2,0
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,0
CC1CC2C(=O)C=C3OCOC34Oc3cc5c(cc3C(C1C)C24)OCO5,0
CCC(=O)O[C@@H](O[P@](=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)CC1C(=O)O)C(C)C,1
CC1CC2C3C(Cl)C=C4CC(=O)C=CC4(C)C3C(O)CC2(C)C1(O)C(=O)CO,0
C[n+]1cccc(C(=O)[O-])c1,0
CC(C)CN(C[C@@H](OP(=O)(O)O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,1
NCCNCCNCCNCCN,1
Fc1ccc(C(c2ccc(F)cc2)N2CCN(CC=Cc3ccccc3)CC2)cc1,0
CC(S)C(=O)NCC(=O)O,1
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,1
CC(C)C(C)(C)C,1
C[N+](C)(C)CC(=O)[O-],0
Cl[As]1c2ccccc2Nc2ccccc21,1
CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1,0
CC12CCC3C(CC=C4CC(=O)C=CC43C)C1CCC(=O)O2,0
CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O,0
CC1=CC(=O)N2CC(=O)N(C)c3ccc(Cl)cc3C2(c2ccccc2)O1,0
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,1
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,0
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,1
C[C@]1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)Cn2cc([N+](=O)[O-])nc2O1,1
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,1
CC1(C)CC2C3=CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CC(O)C2(CO)C(O)C1O,0
O=C1OC(C(=O)CO)C(O)C1O,0
CC(C)c1cccc(C(C)C)c1OCOP(=O)(O)O,0
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,1
Brc1ccc(Oc2ccccc2)cc1,1
NCCCC(N)(C(=O)O)C(F)F,0
CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,0
O=C1NC(=O)C(O)(O)C(=O)N1,0
CCCOC(=O)Cn1cc(I)c(=O)c(I)c1,0
Cc1cc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NN3CCCCCC3)cc2)no1,0
CC1C(=O)OC2CC34C5OC(=O)C3(OC3OC(=O)C(O)C34C(C(C)(C)C)C5O)C21O,0
C[N+](C)(C)CCOP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,0
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,0
CCCC=c1ncc(=CC(Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,1
CN1C(=O)C23CC4=CC=CC(O)C4N2C(=O)C1(CO)SS3,1
CC(Oc1ccc(Cl)cc1Cl)C(=O)O,1
CC1CCC2C(C)C3C(CC4C5CC=C6CC(OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7OC7OC(C)C(O)C(O)C7O)CCC6(C)C5CCC43C)N2C1,0
O=c1c2cc(O)c(O)cc2oc2cc(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12,0
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,1
CC(=O)OC(C)(C)C1Cc2cc3ccc(=O)oc3cc2O1,0
NC(=O)c1ccccc1O,0
COc1cc(O)c2c(=O)cc(-c3ccc(OC4OC(CO)C(O)C(O)C4O)cc3)oc2c1,0
c1ccc(NNc2ccccc2)cc1,1
O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O,0
CN1CC(C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,0
C=C(C)C1CCC2(C)C1CCC1(C)C2CCC2C3(C)CCC(O)C(C)(C)C3CCC21C,0
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12,0
CC1OC(OC2C(O)C(COC(=O)C=Cc3ccc(O)c(O)c3)OC(OCCc3ccc(O)c(O)c3)C2O)C(O)C(O)C1O,0
C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1,1
O=C(CC1NCCCC1O)Cn1cnc2cc(Br)c(Cl)cc2c1=O,0
CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(CO)CCC(=O)C(C)(C)C5CCC43C)C2C1,0
CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1C2=Cc1ccc(Cl)cc1,0
Brc1cc(Br)c(-c2ccc(Br)c(Br)c2Br)cc1Br,1
NC(O)=NO,1
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,1
